project_number,project_id,project_name,billing_account_id,bucket_name,deleted_gb_per_month,dollar_impact,percent_increase,rank_number,soft_delete_retention_days,usage_measurement_gb_month
9.33008E+11,prod-analytics-modeling,prod-analytics-modeling,014161-F9CD83-314E17,bkt_modeling_mwang,0,0,0.00%,30,0,18.9
9.33008E+11,prod-analytics-modeling,prod-analytics-modeling,014161-F9CD83-314E17,bkt_modeling_xxiong,0,0,0.00%,41,0,2.24
9.33008E+11,prod-analytics-modeling,prod-analytics-modeling,014161-F9CD83-314E17,bkt_modeling_shuhe,0,0,0.00%,42,0,38.75
9.33008E+11,prod-analytics-modeling,prod-analytics-modeling,014161-F9CD83-314E17,bkt_modeling_sroy,0,0,0.00%,43,0,13.82
9.33008E+11,prod-analytics-modeling,prod-analytics-modeling,014161-F9CD83-314E17,bkt_modeling_staging_repository,0,0,0.00%,46,0,15.7
9.33008E+11,prod-analytics-modeling,prod-analytics-modeling,014161-F9CD83-314E17,bkt_modeling_data_repository,0,0,0.00%,51,0,146.5
9.33008E+11,prod-analytics-modeling,prod-analytics-modeling,014161-F9CD83-314E17,bkt_prod_analytics_ismarketing_inbound,0.31,0,0.00%,55,0,3.62
9.33008E+11,prod-analytics-modeling,prod-analytics-modeling,014161-F9CD83-314E17,bkt_modeling_dselvarangaraju,0,0,0.00%,59,0,11.94
9.33008E+11,prod-analytics-modeling,prod-analytics-modeling,014161-F9CD83-314E17,bkt_modeling_nmazzola,0.02,0,0.00%,65,0,26.11
9.33008E+11,prod-analytics-modeling,prod-analytics-modeling,014161-F9CD83-314E17,bkt_modeling_anaqvi,0.1,0,0.00%,74,0,2.27
9.33008E+11,prod-analytics-modeling,prod-analytics-modeling,014161-F9CD83-314E17,bkt_modeling_nmutheboina,0,0,0.00%,78,0,17.22
4.07963E+11,pch-app-2014,PCHRAW,014161-F9CD83-314E17,bkt_prod_dis_staging,183.06,0,0.00%,63,0,2290.81
7.95742E+11,dev-cdp1-data-streams,dev-cdp1-data-streams,014161-F9CD83-314E17,bkt_dev_tealium_event_stream_custom,0,0,0.00%,4,0,69.45
